% # iter+eval+sigma+0+0+xmean (randomSeed=895229361, Fri Mar 13 20:04:39 2015)
0	0	5.0000e-03	0	0	0.89	-0.047	0.33	-0.37	-0.1	-0.43	0.29	0.26	-0.08	0.11	-0.14	-0.22	-0.031	0.28	0.085	0.41	-0.38	-0.046	-0.29	-0.36	-0.12
1	13	4.7119e-03	0	0	0.889524	-0.0470105	0.330335	-0.370186	-0.104188	-0.429622	0.293064	0.261656	-0.0778883	0.112286	-0.137416	-0.21699	-0.0338173	0.279597	0.0824167	0.41257	-0.380209	-0.0462875	-0.284497	-0.363978	-0.114995
2	26	4.5322e-03	0	0	0.889107	-0.0471156	0.328734	-0.37071	-0.103722	-0.429399	0.29318	0.257961	-0.0760058	0.110131	-0.137104	-0.214452	-0.0357155	0.276909	0.080849	0.411368	-0.375764	-0.045674	-0.282311	-0.363638	-0.11431
3	39	4.5945e-03	0	0	0.888448	-0.0483887	0.325664	-0.371359	-0.100754	-0.428448	0.291111	0.253066	-0.0762694	0.111893	-0.139481	-0.213422	-0.033173	0.274841	0.0784318	0.406194	-0.375562	-0.045	-0.277665	-0.366181	-0.111426
4	52	4.6409e-03	0	0	0.885222	-0.0475912	0.32446	-0.371917	-0.104535	-0.429884	0.291213	0.254173	-0.0773369	0.114983	-0.137884	-0.209474	-0.0329757	0.275867	0.0772235	0.403193	-0.376229	-0.0461571	-0.277805	-0.361538	-0.11016
5	65	4.5676e-03	0	0	0.885578	-0.0467782	0.323401	-0.370999	-0.104844	-0.427464	0.295235	0.253334	-0.0777788	0.113801	-0.138933	-0.209869	-0.0369788	0.277696	0.0806392	0.403297	-0.374867	-0.0491266	-0.279897	-0.360489	-0.108463
6	78	4.6006e-03	0	0	0.888457	-0.0479671	0.320295	-0.369681	-0.107525	-0.424226	0.294945	0.253997	-0.0769434	0.113675	-0.139002	-0.20853	-0.0402259	0.284193	0.0798074	0.4067	-0.379266	-0.0484452	-0.2776	-0.36274	-0.107095
7	91	4.7432e-03	0	0	0.886051	-0.0459384	0.317619	-0.371646	-0.106925	-0.422041	0.295203	0.252557	-0.079061	0.115808	-0.140047	-0.202538	-0.0414127	0.280787	0.0776967	0.406314	-0.377079	-0.0517837	-0.277098	-0.361949	-0.104982
8	104	4.8691e-03	0	0	0.883277	-0.0470898	0.317207	-0.37317	-0.104241	-0.425188	0.295005	0.254277	-0.0799839	0.109882	-0.140119	-0.199103	-0.0438371	0.274581	0.0776403	0.407307	-0.378232	-0.0481975	-0.277372	-0.362879	-0.101808
9	117	4.9551e-03	0	0	0.885764	-0.0457104	0.314187	-0.372297	-0.102605	-0.425972	0.296244	0.253383	-0.0835934	0.108303	-0.13901	-0.198903	-0.0448221	0.275633	0.0742965	0.405371	-0.381936	-0.0471397	-0.277752	-0.36268	-0.102115
10	130	4.9181e-03	0	0	0.884889	-0.0502735	0.312672	-0.37077	-0.10151	-0.425084	0.294734	0.254646	-0.0801389	0.111917	-0.138212	-0.198363	-0.0414722	0.2787	0.0726971	0.405153	-0.384744	-0.0439553	-0.274087	-0.363846	-0.105081
11	143	4.9153e-03	0	0	0.884287	-0.0493895	0.309753	-0.368543	-0.106281	-0.421377	0.29633	0.253483	-0.0798893	0.109161	-0.141007	-0.197372	-0.044531	0.277607	0.0720096	0.405791	-0.384157	-0.045288	-0.27093	-0.361977	-0.103485
12	156	4.8810e-03	0	0	0.885507	-0.0471262	0.308594	-0.367285	-0.104788	-0.417583	0.297219	0.253334	-0.0793922	0.114592	-0.139147	-0.196472	-0.0483231	0.278795	0.0735174	0.407044	-0.383916	-0.048755	-0.271905	-0.359855	-0.103912
13	169	4.9400e-03	0	0	0.889101	-0.0479983	0.308646	-0.365851	-0.10613	-0.416695	0.297285	0.251908	-0.079412	0.117051	-0.1383	-0.195341	-0.0531087	0.278027	0.0744377	0.410944	-0.386869	-0.050469	-0.276192	-0.35904	-0.102384
14	182	5.1093e-03	0	0	0.88966	-0.0463956	0.305122	-0.365952	-0.106024	-0.417472	0.301098	0.251616	-0.0842182	0.11961	-0.140071	-0.191514	-0.0550085	0.275616	0.0713654	0.413091	-0.390135	-0.0480538	-0.274197	-0.362399	-0.103729
15	195	5.2222e-03	0	0	0.893051	-0.0446993	0.302334	-0.365234	-0.107746	-0.417054	0.303608	0.252108	-0.0817538	0.11891	-0.139507	-0.190938	-0.0542502	0.277923	0.0727842	0.413171	-0.391085	-0.0487574	-0.278776	-0.366343	-0.103788
16	208	5.2474e-03	0	0	0.894107	-0.0436485	0.302514	-0.363674	-0.107321	-0.415655	0.303603	0.25779	-0.0837411	0.118659	-0.143347	-0.191774	-0.0558408	0.278242	0.0740492	0.412053	-0.392541	-0.0474798	-0.280584	-0.361415	-0.105694
17	221	5.1077e-03	0	0	0.896531	-0.045509	0.304472	-0.363832	-0.110116	-0.418888	0.300822	0.257338	-0.0806286	0.115914	-0.141627	-0.192154	-0.0563859	0.272964	0.0731953	0.41051	-0.394379	-0.0454009	-0.276385	-0.36423	-0.105442
18	234	5.1239e-03	0	0	0.896349	-0.0422089	0.301552	-0.363732	-0.114224	-0.419588	0.297245	0.252978	-0.0788526	0.115105	-0.140854	-0.189112	-0.0558567	0.269554	0.0717867	0.411634	-0.397875	-0.048991	-0.276139	-0.360384	-0.105859
