% # iter+eval+sigma+axisratio+fbestever+fitness+fmedian+fworst+mindii+idxmaxSD+maxSD+idxminSD+minSD (randomSeed=894569948, Fri Mar 13 18:14:45 2015)
1	13	9.1551e-03	1.00e+00	1.166650418533947e+03	1.166650418533947e+03	1.870445345032405e+03	1.985724349326296e+03	1.0000e+00	5	1.0046e+00	9	9.9536e-01
2	26	8.6256e-03	1.04e+00	1.037014099635164e+03	1.037014099635164e+03	1.765288150489554e+03	1.915031473656483e+03	9.9460e-01	5	1.0125e+00	9	9.9151e-01
3	39	8.4287e-03	1.08e+00	1.037014099635164e+03	1.119034438741536e+03	1.744607551887406e+03	2.298009887383940e+04	9.8922e-01	12	1.0141e+00	9	9.8746e-01
4	52	8.3084e-03	1.09e+00	1.037014099635164e+03	1.087473661541447e+03	1.709990415810908e+03	1.947889534975337e+03	9.8387e-01	12	1.0174e+00	15	9.8495e-01
5	65	8.2917e-03	1.10e+00	1.037014099635164e+03	1.125822237657174e+03	1.805384093967750e+03	2.085311537401631e+03	9.7860e-01	14	1.0191e+00	15	9.8073e-01
6	78	8.5500e-03	1.10e+00	1.037014099635164e+03	1.047674599760199e+03	1.833489479352232e+03	2.390642264903281e+03	9.7358e-01	20	1.0255e+00	15	9.7747e-01
7	91	8.7039e-03	1.13e+00	1.037014099635164e+03	1.137389722155614e+03	1.800301563867507e+03	3.417594862526335e+03	9.6902e-01	20	1.0381e+00	15	9.7434e-01
8	104	8.7370e-03	1.17e+00	1.037014099635164e+03	1.168881455925007e+03	1.749165738255764e+03	2.523354575149991e+04	9.6407e-01	20	1.0446e+00	15	9.6975e-01
9	117	8.5945e-03	1.19e+00	1.037014099635164e+03	1.105141308678668e+03	1.805015144686409e+03	2.153735884268383e+03	9.5913e-01	20	1.0462e+00	15	9.6516e-01
10	130	8.3994e-03	1.21e+00	1.037014099635164e+03	1.203300083901150e+03	1.779341822450130e+03	2.141537445149423e+03	9.5450e-01	20	1.0457e+00	15	9.6264e-01
11	143	8.1154e-03	1.22e+00	1.037014099635164e+03	1.106744524534553e+03	1.918494590733258e+03	2.143636613531788e+03	9.4994e-01	20	1.0419e+00	15	9.6040e-01
12	156	7.8703e-03	1.23e+00	1.037014099635164e+03	1.219252245247692e+03	1.795119544939397e+03	2.911879772504234e+03	9.4540e-01	20	1.0410e+00	15	9.5599e-01
13	169	7.7108e-03	1.24e+00	1.037014099635164e+03	1.113622566108651e+03	1.470229676232871e+03	2.051718115898865e+03	9.4147e-01	14	1.0433e+00	15	9.5243e-01
14	182	7.5371e-03	1.25e+00	1.037014099635164e+03	1.147492202841370e+03	1.888914538741521e+03	2.037139611062114e+03	9.3705e-01	14	1.0436e+00	15	9.4983e-01
15	195	7.3390e-03	1.25e+00	1.037014099635164e+03	1.117235850063481e+03	1.309909451235623e+03	2.003109214249558e+03	9.3346e-01	14	1.0406e+00	15	9.4933e-01
16	208	6.9755e-03	1.26e+00	1.037014099635164e+03	1.086483207000297e+03	1.366833509054777e+03	1.873126850029878e+03	9.2939e-01	14	1.0373e+00	15	9.4636e-01
17	221	6.8147e-03	1.26e+00	1.037014099635164e+03	1.074443466595182e+03	1.597457784390925e+03	1.969121979852213e+03	9.2495e-01	14	1.0387e+00	15	9.4569e-01
18	234	6.4596e-03	1.29e+00	1.037014099635164e+03	1.069490208771754e+03	1.696891310176755e+03	7.621943605393743e+03	9.2099e-01	14	1.0372e+00	15	9.4504e-01
